#format table ## [Custom WaveView] saved 13:12:48 Thu Mar 14 2024
TIME ,v(0):ALTER=1 ,v(0):ALTER=2 ,v(0):ALTER=3 ,v(0):ALTER=4 ,v(0):ALTER=5 ,v(in):ALTER=1 ,v(in):ALTER=2 ,v(in):ALTER=3 ,v(in):ALTER=4 ,v(in):ALTER=5 ,v(vdd!):ALTER=1 ,v(vdd!):ALTER=2 ,v(vdd!):ALTER=3 ,v(vdd!):ALTER=4 ,v(vdd!):ALTER=5 ,i(vdd):ALTER=1 ,i(vdd):ALTER=2 ,i(vdd):ALTER=3 ,i(vdd):ALTER=4 ,i(vdd):ALTER=5 ,i(vin):ALTER=1 ,i(vin):ALTER=2 ,i(vin):ALTER=3 ,i(vin):ALTER=4 ,i(vin):ALTER=5 ,v(out):ALTER=1 ,v(out):ALTER=2 ,v(out):ALTER=3 ,v(out):ALTER=4 ,v(out):ALTER=5 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 ,-1.943E-12 ,-3.048E-12 ,-3.093E-12 ,-1.815E-12 ,-1.816E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 
 1.000E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 9.000E-02 , 9.000E-02 , 9.000E-02 , 9.000E-02 , 9.000E-02 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.104E-04 , 1.103E-04 , 1.050E-04 , 1.158E-04 , 1.106E-04 ,-1.418E-04 ,-1.415E-04 ,-1.338E-04 ,-1.498E-04 ,-1.422E-04 , 1.820E+00 , 1.820E+00 , 1.820E+00 , 1.820E+00 , 1.820E+00 
 2.000E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E-01 , 1.800E-01 , 1.800E-01 , 1.800E-01 , 1.800E-01 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.126E-04 , 1.124E-04 , 1.075E-04 , 1.177E-04 , 1.128E-04 ,-1.429E-04 ,-1.425E-04 ,-1.351E-04 ,-1.506E-04 ,-1.432E-04 , 1.839E+00 , 1.839E+00 , 1.839E+00 , 1.839E+00 , 1.839E+00 
 4.941E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 4.447E-01 , 4.447E-01 , 4.447E-01 , 4.447E-01 , 4.447E-01 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.160E-04 , 1.154E-04 , 1.117E-04 , 1.204E-04 , 1.165E-04 ,-1.443E-04 ,-1.446E-04 ,-1.378E-04 ,-1.510E-04 ,-1.444E-04 , 1.887E+00 , 1.888E+00 , 1.885E+00 , 1.889E+00 , 1.886E+00 
 5.185E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 4.666E-01 , 4.666E-01 , 4.666E-01 , 4.666E-01 , 4.666E-01 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.163E-04 , 1.157E-04 , 1.099E-04 , 1.206E-04 , 1.168E-04 ,-1.444E-04 ,-1.447E-04 ,-1.388E-04 ,-1.510E-04 ,-1.445E-04 , 1.891E+00 , 1.892E+00 , 1.886E+00 , 1.894E+00 , 1.890E+00 
 5.200E-12 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 4.680E-01 , 4.680E-01 , 4.680E-01 , 4.680E-01 , 4.680E-01 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.163E-04 , 1.157E-04 , 1.098E-04 , 1.206E-04 , 1.167E-04 ,-1.444E-04 ,-1.448E-04 ,-1.388E-04 ,-1.510E-04 ,-1.445E-04 , 1.891E+00 , 1.892E+00 , 1.886E+00 , 1.894E+00 , 1.891E+00 
 1.098E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 9.886E-01 , 9.886E-01 , 9.886E-01 , 9.886E-01 , 9.886E-01 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.735E-05 , 6.652E-05 , 6.685E-05 , 8.635E-05 , 8.719E-05 ,-1.589E-04 ,-1.643E-04 ,-1.606E-04 ,-1.575E-04 ,-1.538E-04 , 1.937E+00 , 1.922E+00 , 1.909E+00 , 1.962E+00 , 1.949E+00 
 1.147E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.032E+00 , 1.032E+00 , 1.032E+00 , 1.032E+00 , 1.032E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.407E-05 , 6.238E-05 , 5.821E-05 , 8.347E-05 , 8.470E-05 ,-1.601E-04 ,-1.659E-04 ,-1.598E-04 ,-1.580E-04 ,-1.546E-04 , 1.941E+00 , 1.925E+00 , 1.891E+00 , 1.968E+00 , 1.954E+00 
 1.152E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.037E+00 , 1.037E+00 , 1.037E+00 , 1.037E+00 , 1.037E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.371E-05 , 6.192E-05 , 5.726E-05 , 8.316E-05 , 8.406E-05 ,-1.603E-04 ,-1.661E-04 ,-1.597E-04 ,-1.581E-04 ,-1.546E-04 , 1.942E+00 , 1.925E+00 , 1.889E+00 , 1.968E+00 , 1.953E+00 
 1.160E-11 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.044E+00 , 1.044E+00 , 1.044E+00 , 1.044E+00 , 1.044E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 1.800E+00 , 7.269E-05 , 6.129E-05 , 5.594E-05 , 8.272E-05 , 8.319E-05 ,-1.602E-04 ,-1.663E-04 ,-1.596E-04 ,-1.581E-04 ,-1.546E-04 , 1.940E+00 , 1.925E+00 , 1.887E+00 , 1.969E+00 , 1.951E+00 
