#format table ## [Custom WaveView] saved 19:58:49 Sat Mar  9 2024
TIME ,v(0) ,v(a) ,v(b) ,v(c) ,v(d) ,v(e) ,v(f) ,v(vdd!) ,i(vdd) ,i(vin) 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 1.800E+00 , 9.701E-09 , 1.800E+00 , 9.701E-09 , 1.800E+00 , 1.800E+00 ,-2.522E-11 , 0.000E+00 
 1.000E-12 , 0.000E+00 , 9.000E-02 , 1.815E+00 , 1.489E-03 , 1.800E+00 , 2.489E-05 , 1.800E+00 , 1.800E+00 , 1.098E-04 ,-1.455E-04 
 2.000E-12 , 0.000E+00 , 1.800E-01 , 1.830E+00 , 2.755E-03 , 1.800E+00 , 4.219E-05 , 1.800E+00 , 1.800E+00 , 1.106E-04 ,-1.460E-04 
 5.200E-12 , 0.000E+00 , 4.680E-01 , 1.874E+00 , 5.919E-03 , 1.801E+00 , 7.055E-05 , 1.800E+00 , 1.800E+00 , 1.108E-04 ,-1.468E-04 
 1.267E-11 , 0.000E+00 , 1.140E+00 , 1.925E+00 , 5.935E-03 , 1.801E+00 , 5.393E-06 , 1.800E+00 , 1.800E+00 , 5.666E-05 ,-1.652E-04 
 1.764E-11 , 0.000E+00 , 1.587E+00 , 1.852E+00 ,-3.054E-03 , 1.799E+00 ,-1.269E-04 , 1.800E+00 , 1.800E+00 ,-2.027E-05 ,-1.312E-04 
 2.000E-11 , 0.000E+00 , 1.800E+00 , 1.762E+00 ,-1.119E-02 , 1.798E+00 ,-2.114E-04 , 1.800E+00 , 1.800E+00 ,-3.181E-05 ,-1.486E-04 
 2.066E-11 , 0.000E+00 , 1.800E+00 , 1.726E+00 ,-1.413E-02 , 1.798E+00 ,-2.387E-04 , 1.800E+00 , 1.800E+00 ,-1.113E-04 ,-2.196E-05 
 2.109E-11 , 0.000E+00 , 1.800E+00 , 1.702E+00 ,-1.609E-02 , 1.797E+00 ,-2.559E-04 , 1.800E+00 , 1.800E+00 ,-1.103E-04 ,-2.150E-05 
 2.250E-11 , 0.000E+00 , 1.800E+00 , 1.624E+00 ,-2.188E-02 , 1.797E+00 ,-2.933E-04 , 1.800E+00 , 1.800E+00 ,-1.083E-04 ,-2.137E-05 
 2.700E-11 , 0.000E+00 , 1.800E+00 , 1.373E+00 ,-3.706E-02 , 1.795E+00 ,-3.083E-04 , 1.800E+00 , 1.800E+00 ,-1.036E-04 ,-1.946E-05 
 3.401E-11 , 0.000E+00 , 1.800E+00 , 1.003E+00 ,-5.086E-02 , 1.794E+00 ,-1.648E-04 , 1.800E+00 , 1.800E+00 ,-1.096E-04 ,-1.675E-05 
 4.031E-11 , 0.000E+00 , 1.800E+00 , 6.991E-01 ,-4.359E-02 , 1.797E+00 , 1.258E-04 , 1.800E+00 , 1.800E+00 ,-1.161E-04 ,-1.510E-05 
 5.019E-11 , 0.000E+00 , 1.800E+00 , 3.232E-01 , 5.929E-02 , 1.813E+00 , 1.122E-03 , 1.800E+00 , 1.800E+00 ,-9.543E-05 ,-1.147E-05 
 5.669E-11 , 0.000E+00 , 1.800E+00 , 1.781E-01 , 1.898E-01 , 1.829E+00 , 1.819E-03 , 1.800E+00 , 1.800E+00 ,-7.195E-05 ,-7.014E-06 
 6.412E-11 , 0.000E+00 , 1.800E+00 , 9.102E-02 , 3.746E-01 , 1.850E+00 , 2.232E-03 , 1.800E+00 , 1.800E+00 ,-5.954E-05 ,-3.229E-06 
 7.208E-11 , 0.000E+00 , 1.800E+00 , 4.984E-02 , 5.917E-01 , 1.870E+00 , 2.258E-03 , 1.800E+00 , 1.800E+00 ,-4.838E-05 ,-1.394E-06 
 7.891E-11 , 0.000E+00 , 1.800E+00 , 3.517E-02 , 7.786E-01 , 1.878E+00 , 1.497E-03 , 1.800E+00 , 1.800E+00 ,-5.767E-05 ,-5.985E-07 
 8.721E-11 , 0.000E+00 , 1.800E+00 , 2.610E-02 , 9.924E-01 , 1.852E+00 ,-1.428E-03 , 1.799E+00 , 1.800E+00 ,-7.180E-05 ,-3.565E-07 
 9.564E-11 , 0.000E+00 , 1.800E+00 , 2.160E-02 , 1.186E+00 , 1.763E+00 ,-7.098E-03 , 1.799E+00 , 1.800E+00 ,-9.270E-05 ,-1.184E-07 
 1.043E-10 , 0.000E+00 , 1.800E+00 , 1.892E-02 , 1.352E+00 , 1.560E+00 ,-1.803E-02 , 1.797E+00 , 1.800E+00 ,-9.251E-05 ,-1.621E-07 
 1.115E-10 , 0.000E+00 , 1.800E+00 , 1.672E-02 , 1.450E+00 , 1.333E+00 ,-2.781E-02 , 1.796E+00 , 1.800E+00 ,-1.043E-04 ,-1.120E-07 
 1.196E-10 , 0.000E+00 , 1.800E+00 , 1.427E-02 , 1.530E+00 , 1.050E+00 ,-3.621E-02 , 1.796E+00 , 1.800E+00 ,-1.036E-04 ,-1.656E-07 
 1.273E-10 , 0.000E+00 , 1.800E+00 , 1.182E-02 , 1.587E+00 , 7.673E-01 ,-2.829E-02 , 1.799E+00 , 1.800E+00 ,-1.223E-04 ,-1.196E-07 
 1.362E-10 , 0.000E+00 , 1.800E+00 , 9.222E-03 , 1.636E+00 , 4.561E-01 , 3.750E-02 , 1.812E+00 , 1.800E+00 ,-1.140E-04 ,-1.454E-07 
 1.400E-10 , 0.000E+00 , 1.800E+00 , 8.256E-03 , 1.652E+00 , 3.423E-01 , 9.328E-02 , 1.821E+00 , 1.800E+00 ,-1.092E-04 ,-8.260E-08 
 1.410E-10 , 0.000E+00 , 1.706E+00 ,-1.194E-03 , 1.655E+00 , 3.157E-01 , 1.118E-01 , 1.824E+00 , 1.800E+00 ,-1.764E-04 , 1.151E-04 
 1.416E-10 , 0.000E+00 , 1.656E+00 ,-6.060E-03 , 1.657E+00 , 3.022E-01 , 1.217E-01 , 1.826E+00 , 1.800E+00 ,-1.742E-04 , 1.152E-04 
 1.434E-10 , 0.000E+00 , 1.498E+00 ,-2.026E-02 , 1.662E+00 , 2.623E-01 , 1.552E-01 , 1.831E+00 , 1.800E+00 ,-1.659E-04 , 1.165E-04 
 1.487E-10 , 0.000E+00 , 1.013E+00 ,-5.331E-02 , 1.679E+00 , 1.690E-01 , 2.719E-01 , 1.847E+00 , 1.800E+00 ,-1.777E-04 , 1.426E-04 
 1.566E-10 , 0.000E+00 , 3.074E-01 ,-2.866E-02 , 1.712E+00 , 9.062E-02 , 4.688E-01 , 1.871E+00 , 1.800E+00 ,-2.164E-04 , 1.574E-04 
 1.600E-10 , 0.000E+00 , 0.000E+00 , 3.068E-02 , 1.731E+00 , 7.225E-02 , 5.606E-01 , 1.880E+00 , 1.800E+00 ,-2.126E-04 , 1.488E-04 
 1.608E-10 , 0.000E+00 , 0.000E+00 , 5.780E-02 , 1.738E+00 , 6.881E-02 , 5.837E-01 , 1.882E+00 , 1.800E+00 ,-1.084E-04 , 1.316E-05 
 1.614E-10 , 0.000E+00 , 0.000E+00 , 7.451E-02 , 1.741E+00 , 6.677E-02 , 5.979E-01 , 1.884E+00 , 1.800E+00 ,-1.073E-04 , 1.278E-05 
 1.630E-10 , 0.000E+00 , 0.000E+00 , 1.278E-01 , 1.753E+00 , 6.081E-02 , 6.432E-01 , 1.887E+00 , 1.800E+00 ,-1.065E-04 , 1.316E-05 
 1.684E-10 , 0.000E+00 , 0.000E+00 , 2.969E-01 , 1.786E+00 , 4.631E-02 , 7.861E-01 , 1.890E+00 , 1.800E+00 ,-1.080E-04 , 1.259E-05 
 1.773E-10 , 0.000E+00 , 0.000E+00 , 5.736E-01 , 1.829E+00 , 3.216E-02 , 1.009E+00 , 1.843E+00 , 1.800E+00 ,-1.259E-04 , 1.238E-05 
 1.863E-10 , 0.000E+00 , 0.000E+00 , 8.338E-01 , 1.845E+00 , 2.364E-02 , 1.205E+00 , 1.676E+00 , 1.800E+00 ,-1.537E-04 , 1.088E-05 
 1.941E-10 , 0.000E+00 , 0.000E+00 , 1.037E+00 , 1.814E+00 , 1.642E-02 , 1.341E+00 , 1.377E+00 , 1.800E+00 ,-1.741E-04 , 1.017E-05 
 2.019E-10 , 0.000E+00 , 0.000E+00 , 1.219E+00 , 1.710E+00 , 7.014E-03 , 1.439E+00 , 9.819E-01 , 1.800E+00 ,-1.922E-04 , 8.894E-06 
 2.097E-10 , 0.000E+00 , 0.000E+00 , 1.365E+00 , 1.514E+00 ,-4.998E-03 , 1.510E+00 , 5.390E-01 , 1.800E+00 ,-1.823E-04 , 8.292E-06 
 2.175E-10 , 0.000E+00 , 0.000E+00 , 1.468E+00 , 1.264E+00 ,-1.609E-02 , 1.568E+00 , 2.066E-01 , 1.800E+00 ,-1.566E-04 , 6.499E-06 
 2.228E-10 , 0.000E+00 , 0.000E+00 , 1.521E+00 , 1.078E+00 ,-2.114E-02 , 1.605E+00 , 9.336E-02 , 1.800E+00 ,-1.355E-04 , 6.200E-06 
 2.296E-10 , 0.000E+00 , 0.000E+00 , 1.575E+00 , 8.309E-01 ,-1.559E-02 , 1.650E+00 , 3.136E-02 , 1.800E+00 ,-1.351E-04 , 4.546E-06 
 2.362E-10 , 0.000E+00 , 0.000E+00 , 1.615E+00 , 5.904E-01 , 1.801E-02 , 1.691E+00 , 1.280E-02 , 1.800E+00 ,-1.285E-04 , 4.130E-06 
 2.431E-10 , 0.000E+00 , 0.000E+00 , 1.648E+00 , 3.681E-01 , 1.034E-01 , 1.730E+00 , 7.252E-03 , 1.800E+00 ,-1.180E-04 , 2.957E-06 
 2.502E-10 , 0.000E+00 , 0.000E+00 , 1.677E+00 , 2.084E-01 , 2.410E-01 , 1.767E+00 , 5.411E-03 , 1.800E+00 ,-8.958E-05 , 3.080E-06 
 2.566E-10 , 0.000E+00 , 0.000E+00 , 1.700E+00 , 1.235E-01 , 3.947E-01 , 1.796E+00 , 4.550E-03 , 1.800E+00 ,-7.794E-05 , 2.417E-06 
 2.661E-10 , 0.000E+00 , 0.000E+00 , 1.729E+00 , 6.095E-02 , 6.450E-01 , 1.832E+00 , 3.566E-03 , 1.800E+00 ,-5.906E-05 , 2.337E-06 
 2.732E-10 , 0.000E+00 , 0.000E+00 , 1.746E+00 , 4.099E-02 , 8.365E-01 , 1.841E+00 , 1.504E-03 , 1.800E+00 ,-6.995E-05 , 1.486E-06 
 2.800E-10 , 0.000E+00 , 0.000E+00 , 1.759E+00 , 3.108E-02 , 1.008E+00 , 1.817E+00 ,-2.379E-03 , 1.800E+00 ,-7.700E-05 , 1.535E-06 
