$DATA1 SOURCE='PrimeSim HSPICE' VERSION='U-2023.03-SP2 linux6' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '*fo4_ratios.sp'
ra,tpdr,tpdf,tpd,trise,tfall,diff,pwr,temper,alter#
   1.0000, 7.963e-11, 5.938e-11, 6.950e-11, 8.678e-11, 5.307e-11, 2.025e-11, 3.556e-03,  70.0000,1
   1.1000, 7.946e-11, 6.046e-11, 6.996e-11, 8.535e-11, 5.400e-11, 1.900e-11, 3.695e-03,  70.0000,1
   1.2000, 7.938e-11, 6.156e-11, 7.047e-11, 8.424e-11, 5.496e-11, 1.782e-11, 3.827e-03,  70.0000,1
   1.3000, 7.940e-11, 6.264e-11, 7.102e-11, 8.300e-11, 5.598e-11, 1.675e-11, 3.969e-03,  70.0000,1
   1.4000, 7.950e-11, 6.375e-11, 7.162e-11, 8.201e-11, 5.695e-11, 1.575e-11, 4.105e-03,  70.0000,1
   1.5000, 7.959e-11, 6.482e-11, 7.221e-11, 8.127e-11, 5.802e-11, 1.477e-11, 4.243e-03,  70.0000,1
   1.6000, 7.976e-11, 6.592e-11, 7.284e-11, 8.076e-11, 5.959e-11, 1.384e-11, 4.385e-03,  70.0000,1
   1.7000, 7.996e-11, 6.702e-11, 7.349e-11, 8.032e-11, 6.088e-11, 1.294e-11, 4.524e-03,  70.0000,1
   1.8000, 8.021e-11, 6.812e-11, 7.416e-11, 7.993e-11, 6.217e-11, 1.209e-11, 4.663e-03,  70.0000,1
   1.9000, 8.046e-11, 6.923e-11, 7.484e-11, 7.961e-11, 6.335e-11, 1.123e-11, 4.800e-03,  70.0000,1
   2.0000, 8.076e-11, 7.034e-11, 7.555e-11, 7.932e-11, 6.441e-11, 1.043e-11, 4.935e-03,  70.0000,1
   2.1000, 8.116e-11, 7.145e-11, 7.631e-11, 7.913e-11, 6.534e-11, 9.702e-12, 5.074e-03,  70.0000,1
   2.2000, 8.145e-11, 7.257e-11, 7.701e-11, 7.884e-11, 6.669e-11, 8.882e-12, 5.213e-03,  70.0000,1
   2.3000, 8.183e-11, 7.370e-11, 7.776e-11, 7.868e-11, 6.810e-11, 8.137e-12, 5.355e-03,  70.0000,1
   2.4000, 8.226e-11, 7.485e-11, 7.856e-11, 7.856e-11, 6.953e-11, 7.410e-12, 5.494e-03,  70.0000,1
   2.5000, 8.269e-11, 7.598e-11, 7.933e-11, 7.874e-11, 7.069e-11, 6.715e-12, 5.642e-03,  70.0000,1
   2.6000, 8.305e-11, 7.709e-11, 8.007e-11, 7.825e-11, 7.190e-11, 5.958e-12, 5.770e-03,  70.0000,1
   2.7000, 8.351e-11, 7.821e-11, 8.086e-11, 7.868e-11, 7.319e-11, 5.299e-12, 5.912e-03,  70.0000,1
   2.8000, 8.390e-11, 7.937e-11, 8.163e-11, 7.850e-11, 7.409e-11, 4.534e-12, 6.051e-03,  70.0000,1
   2.9000, 8.436e-11, 8.050e-11, 8.243e-11, 7.843e-11, 7.577e-11, 3.857e-12, 6.188e-03,  70.0000,1
   3.0000, 8.479e-11, 8.164e-11, 8.322e-11, 7.879e-11, 7.733e-11, 3.153e-12, 6.323e-03,  70.0000,1
   3.1000, 8.527e-11, 8.278e-11, 8.402e-11, 7.885e-11, 7.877e-11, 2.485e-12, 6.453e-03,  70.0000,1
   3.2000, 8.567e-11, 8.396e-11, 8.481e-11, 7.881e-11, 8.022e-11, 1.711e-12, 6.591e-03,  70.0000,1
   3.3000, 8.612e-11, 8.508e-11, 8.560e-11, 7.921e-11, 8.162e-11, 1.046e-12, 6.725e-03,  70.0000,1
   3.4000, 8.659e-11, 8.619e-11, 8.639e-11, 7.932e-11, 8.292e-11, 4.006e-13, 6.857e-03,  70.0000,1
   3.5000, 8.706e-11, 8.727e-11, 8.717e-11, 7.947e-11, 8.398e-11,-2.107e-13, 6.993e-03,  70.0000,1
   3.6000, 8.753e-11, 8.837e-11, 8.795e-11, 7.960e-11, 8.511e-11,-8.340e-13, 7.131e-03,  70.0000,1
   3.7000, 8.799e-11, 8.952e-11, 8.876e-11, 7.971e-11, 8.659e-11,-1.534e-12, 7.260e-03,  70.0000,1
   3.8000, 8.845e-11, 9.071e-11, 8.958e-11, 7.983e-11, 8.864e-11,-2.255e-12, 7.385e-03,  70.0000,1
   3.9000, 8.895e-11, 9.185e-11, 9.040e-11, 7.987e-11, 9.002e-11,-2.897e-12, 7.512e-03,  70.0000,1
   4.0000, 8.939e-11, 9.300e-11, 9.120e-11, 8.007e-11, 9.126e-11,-3.606e-12, 7.637e-03,  70.0000,1
   4.1000, 8.991e-11, 9.413e-11, 9.202e-11, 8.041e-11, 9.253e-11,-4.221e-12, 7.760e-03,  70.0000,1
   4.2000, 9.038e-11, 9.523e-11, 9.281e-11, 8.080e-11, 9.399e-11,-4.853e-12, 7.882e-03,  70.0000,1
   4.3000, 9.090e-11, 9.636e-11, 9.363e-11, 8.066e-11, 9.574e-11,-5.459e-12, 8.003e-03,  70.0000,1
   4.4000, 9.141e-11, 9.750e-11, 9.446e-11, 8.102e-11, 9.750e-11,-6.090e-12, 8.119e-03,  70.0000,1
   4.5000, 9.182e-11, 9.862e-11, 9.522e-11, 8.187e-11, 9.907e-11,-6.795e-12, 8.230e-03,  70.0000,1
   4.6000, 9.231e-11, 9.977e-11, 9.604e-11, 8.175e-11, 1.006e-10,-7.457e-12, 8.349e-03,  70.0000,1
   4.7000, 9.286e-11, 1.010e-10, 9.691e-11, 8.201e-11, 1.021e-10,-8.110e-12, 8.452e-03,  70.0000,1
   4.8000, 9.327e-11, 1.021e-10, 9.768e-11, 8.198e-11, 1.032e-10,-8.814e-12, 8.565e-03,  70.0000,1
   4.9000, 9.371e-11, 1.032e-10, 9.846e-11, 8.317e-11, 1.046e-10,-9.511e-12, 8.663e-03,  70.0000,1
   5.0000, 9.423e-11, 1.044e-10, 9.931e-11, 8.266e-11, 1.063e-10,-1.016e-11, 8.760e-03,  70.0000,1
   5.1000, 9.468e-11, 1.055e-10, 1.001e-10, 8.301e-11, 1.083e-10,-1.084e-11, 8.853e-03,  70.0000,1
   5.2000, 9.518e-11, 1.067e-10, 1.009e-10, 8.345e-11, 1.099e-10,-1.149e-11, 8.940e-03,  70.0000,1
   5.3000, 9.551e-11, 1.078e-10, 1.017e-10, 8.401e-11, 1.113e-10,-1.230e-11, 9.026e-03,  70.0000,1
   5.4000, 9.597e-11, 1.090e-10, 1.025e-10, 8.449e-11, 1.125e-10,-1.298e-11, 9.110e-03,  70.0000,1
   5.5000, 9.644e-11, 1.101e-10, 1.033e-10, 8.466e-11, 1.141e-10,-1.364e-11, 9.193e-03,  70.0000,1
   5.6000, 9.690e-11, 1.112e-10, 1.041e-10, 8.550e-11, 1.158e-10,-1.431e-11, 9.269e-03,  70.0000,1
   5.7000, 9.734e-11, 1.123e-10, 1.048e-10, 8.555e-11, 1.175e-10,-1.500e-11, 9.348e-03,  70.0000,1
   5.8000, 9.774e-11, 1.134e-10, 1.056e-10, 8.603e-11, 1.195e-10,-1.565e-11, 9.435e-03,  70.0000,1
   5.9000, 9.818e-11, 1.145e-10, 1.063e-10, 8.642e-11, 1.211e-10,-1.634e-11, 9.506e-03,  70.0000,1
   6.0000, 9.858e-11, 1.157e-10, 1.071e-10, 8.696e-11, 1.227e-10,-1.707e-11, 9.575e-03,  70.0000,1
