$DATA1 SOURCE='PrimeSim HSPICE' VERSION='U-2023.03-SP2 linux6' PARAM_COUNT=1
$OPTION MEASFORM=3
.TITLE '*  generated for: finesimpro'
ra,isc,temper,alter#
   1.0000,   0.8286,  70.0000,1
   1.5000,   0.8515,  70.0000,1
   2.0000,   0.8695,  70.0000,1
   2.5000,   0.8846,  70.0000,1
   3.0000,   0.8973,  70.0000,1
   3.5000,   0.9084,  70.0000,1
   4.0000,   0.9183,  70.0000,1
   4.5000,   0.9271,  70.0000,1
   5.0000,   0.9352,  70.0000,1
   5.5000,   0.9425,  70.0000,1
   6.0000,   0.9490,  70.0000,1
