#format table ## [Custom WaveView] saved 19:31:48 Sat Mar  9 2024
XVAL ,i(vds):0:vgs=0 ,i(vds):0:vgs=300m ,i(vds):0:vgs=600m ,i(vds):0:vgs=900m ,i(vds):0:vgs=1.2 ,i(vds):0:vgs=1.5 ,i(vds):0:vgs=1.8 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 
 5.000E-02 ,-1.324E-12 ,-1.586E-09 ,-6.653E-07 ,-7.357E-06 ,-1.424E-05 ,-1.951E-05 ,-2.361E-05 
 1.000E-01 ,-1.763E-12 ,-2.067E-09 ,-9.336E-07 ,-1.293E-05 ,-2.638E-05 ,-3.687E-05 ,-4.511E-05 
 1.500E-01 ,-1.975E-12 ,-2.267E-09 ,-1.047E-06 ,-1.696E-05 ,-3.660E-05 ,-5.223E-05 ,-6.463E-05 
 2.000E-01 ,-2.122E-12 ,-2.388E-09 ,-1.109E-06 ,-1.971E-05 ,-4.504E-05 ,-6.572E-05 ,-8.228E-05 
 2.500E-01 ,-2.244E-12 ,-2.479E-09 ,-1.150E-06 ,-2.153E-05 ,-5.186E-05 ,-7.744E-05 ,-9.816E-05 
 3.000E-01 ,-2.355E-12 ,-2.555E-09 ,-1.183E-06 ,-2.272E-05 ,-5.722E-05 ,-8.750E-05 ,-1.123E-04 
 3.500E-01 ,-2.460E-12 ,-2.624E-09 ,-1.211E-06 ,-2.354E-05 ,-6.132E-05 ,-9.599E-05 ,-1.249E-04 
 4.000E-01 ,-2.562E-12 ,-2.689E-09 ,-1.235E-06 ,-2.414E-05 ,-6.439E-05 ,-1.030E-04 ,-1.359E-04 
 4.500E-01 ,-2.660E-12 ,-2.750E-09 ,-1.258E-06 ,-2.461E-05 ,-6.667E-05 ,-1.087E-04 ,-1.453E-04 
 5.000E-01 ,-2.757E-12 ,-2.809E-09 ,-1.280E-06 ,-2.499E-05 ,-6.840E-05 ,-1.132E-04 ,-1.534E-04 
 5.500E-01 ,-2.853E-12 ,-2.866E-09 ,-1.300E-06 ,-2.532E-05 ,-6.973E-05 ,-1.168E-04 ,-1.601E-04 
 6.000E-01 ,-2.948E-12 ,-2.923E-09 ,-1.320E-06 ,-2.560E-05 ,-7.081E-05 ,-1.196E-04 ,-1.657E-04 
