#format table ## [Custom WaveView] saved 19:24:11 Wed Mar 13 2024
XVAL ,i(vgs):0:vgs=0 ,i(vgs):0:vgs=300m ,i(vgs):0:vgs=600m ,i(vgs):0:vgs=900m ,i(vgs):0:vgs=1.2 ,i(vgs):0:vgs=1.5 ,i(vgs):0:vgs=1.8 
 0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 5.000E-02 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 2.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 2.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 3.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 3.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 4.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 4.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 5.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 5.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 6.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 6.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 7.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 7.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 8.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 8.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 9.000E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 9.500E-01 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.050E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.100E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.150E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.200E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.250E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.300E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.350E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.400E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.450E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.500E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.550E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.600E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.650E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.700E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.750E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.800E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.850E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.900E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 1.950E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
 2.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 ,-0.000E+00 
