#format table ## [Custom WaveView] saved 22:43:14 Tue Mar 12 2024
XVAL ,i(vds):0:vgs=0 ,i(vds):0:vgs=300m ,i(vds):0:vgs=600m ,i(vds):0:vgs=900m ,i(vds):0:vgs=1.2 ,i(vds):0:vgs=1.5 ,i(vds):0:vgs=1.8 
 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 , 0.000E+00 
 5.000E-02 ,-2.058E-13 ,-2.583E-10 ,-1.523E-07 ,-1.744E-06 ,-3.539E-06 ,-5.101E-06 ,-6.447E-06 
 1.000E-01 ,-2.813E-13 ,-2.911E-10 ,-1.904E-07 ,-3.079E-06 ,-6.623E-06 ,-9.737E-06 ,-1.243E-05 
 1.500E-01 ,-3.385E-13 ,-2.982E-10 ,-1.984E-07 ,-4.026E-06 ,-9.268E-06 ,-1.392E-05 ,-1.797E-05 
 2.000E-01 ,-3.915E-13 ,-3.013E-10 ,-2.012E-07 ,-4.621E-06 ,-1.149E-05 ,-1.767E-05 ,-2.306E-05 
 2.500E-01 ,-4.432E-13 ,-3.034E-10 ,-2.028E-07 ,-4.938E-06 ,-1.330E-05 ,-2.099E-05 ,-2.774E-05 
 3.000E-01 ,-4.942E-13 ,-3.049E-10 ,-2.039E-07 ,-5.088E-06 ,-1.472E-05 ,-2.391E-05 ,-3.200E-05 
 3.500E-01 ,-5.449E-13 ,-3.061E-10 ,-2.048E-07 ,-5.164E-06 ,-1.577E-05 ,-2.642E-05 ,-3.585E-05 
 4.000E-01 ,-5.955E-13 ,-3.072E-10 ,-2.055E-07 ,-5.209E-06 ,-1.650E-05 ,-2.855E-05 ,-3.932E-05 
 4.500E-01 ,-6.460E-13 ,-3.082E-10 ,-2.061E-07 ,-5.240E-06 ,-1.696E-05 ,-3.030E-05 ,-4.240E-05 
 5.000E-01 ,-6.964E-13 ,-3.090E-10 ,-2.066E-07 ,-5.264E-06 ,-1.725E-05 ,-3.170E-05 ,-4.512E-05 
 5.500E-01 ,-7.468E-13 ,-3.098E-10 ,-2.071E-07 ,-5.283E-06 ,-1.743E-05 ,-3.277E-05 ,-4.747E-05 
 6.000E-01 ,-7.972E-13 ,-3.105E-10 ,-2.076E-07 ,-5.298E-06 ,-1.755E-05 ,-3.354E-05 ,-4.947E-05 
 6.500E-01 ,-8.475E-13 ,-3.112E-10 ,-2.080E-07 ,-5.312E-06 ,-1.765E-05 ,-3.408E-05 ,-5.113E-05 
 7.000E-01 ,-8.978E-13 ,-3.118E-10 ,-2.083E-07 ,-5.324E-06 ,-1.772E-05 ,-3.446E-05 ,-5.247E-05 
 7.500E-01 ,-9.481E-13 ,-3.124E-10 ,-2.087E-07 ,-5.335E-06 ,-1.778E-05 ,-3.472E-05 ,-5.352E-05 
 8.000E-01 ,-9.984E-13 ,-3.130E-10 ,-2.090E-07 ,-5.344E-06 ,-1.783E-05 ,-3.492E-05 ,-5.430E-05 
 8.500E-01 ,-1.049E-12 ,-3.136E-10 ,-2.093E-07 ,-5.353E-06 ,-1.787E-05 ,-3.508E-05 ,-5.489E-05 
 9.000E-01 ,-1.099E-12 ,-3.141E-10 ,-2.096E-07 ,-5.361E-06 ,-1.791E-05 ,-3.520E-05 ,-5.532E-05 
 9.500E-01 ,-1.149E-12 ,-3.146E-10 ,-2.099E-07 ,-5.369E-06 ,-1.794E-05 ,-3.531E-05 ,-5.565E-05 
 1.000E+00 ,-1.199E-12 ,-3.151E-10 ,-2.102E-07 ,-5.376E-06 ,-1.797E-05 ,-3.540E-05 ,-5.591E-05 
 1.050E+00 ,-1.250E-12 ,-3.156E-10 ,-2.104E-07 ,-5.382E-06 ,-1.800E-05 ,-3.548E-05 ,-5.612E-05 
 1.100E+00 ,-1.300E-12 ,-3.161E-10 ,-2.107E-07 ,-5.389E-06 ,-1.803E-05 ,-3.555E-05 ,-5.629E-05 
 1.150E+00 ,-1.350E-12 ,-3.165E-10 ,-2.109E-07 ,-5.394E-06 ,-1.805E-05 ,-3.561E-05 ,-5.644E-05 
 1.200E+00 ,-1.400E-12 ,-3.169E-10 ,-2.111E-07 ,-5.400E-06 ,-1.807E-05 ,-3.567E-05 ,-5.657E-05 
 1.250E+00 ,-1.450E-12 ,-3.174E-10 ,-2.114E-07 ,-5.405E-06 ,-1.809E-05 ,-3.572E-05 ,-5.668E-05 
 1.300E+00 ,-1.501E-12 ,-3.178E-10 ,-2.116E-07 ,-5.410E-06 ,-1.811E-05 ,-3.577E-05 ,-5.679E-05 
 1.350E+00 ,-1.551E-12 ,-3.182E-10 ,-2.118E-07 ,-5.415E-06 ,-1.813E-05 ,-3.582E-05 ,-5.688E-05 
 1.400E+00 ,-1.601E-12 ,-3.186E-10 ,-2.120E-07 ,-5.420E-06 ,-1.815E-05 ,-3.586E-05 ,-5.696E-05 
 1.450E+00 ,-1.651E-12 ,-3.190E-10 ,-2.122E-07 ,-5.424E-06 ,-1.817E-05 ,-3.590E-05 ,-5.704E-05 
 1.500E+00 ,-1.701E-12 ,-3.194E-10 ,-2.124E-07 ,-5.428E-06 ,-1.818E-05 ,-3.593E-05 ,-5.711E-05 
 1.550E+00 ,-1.752E-12 ,-3.198E-10 ,-2.126E-07 ,-5.432E-06 ,-1.820E-05 ,-3.597E-05 ,-5.718E-05 
 1.600E+00 ,-1.802E-12 ,-3.201E-10 ,-2.127E-07 ,-5.436E-06 ,-1.821E-05 ,-3.600E-05 ,-5.724E-05 
 1.650E+00 ,-1.852E-12 ,-3.205E-10 ,-2.129E-07 ,-5.440E-06 ,-1.822E-05 ,-3.603E-05 ,-5.730E-05 
 1.700E+00 ,-1.902E-12 ,-3.209E-10 ,-2.131E-07 ,-5.444E-06 ,-1.824E-05 ,-3.606E-05 ,-5.735E-05 
 1.750E+00 ,-1.952E-12 ,-3.213E-10 ,-2.133E-07 ,-5.447E-06 ,-1.825E-05 ,-3.609E-05 ,-5.740E-05 
